img, IoU_img, TP, FP, FN, TN, accuracy, precision, recall, F1, TPR, FPR
batch_1/000087.JPG,0.116,1,6,1,1,0.222,0.143,0.5,0.222,0.5,0.857,
batch_1/000088.JPG,0.595,1,2,3,1,0.286,0.333,0.25,0.286,0.25,0.667,
batch_1/000090.JPG,0.3,0,3,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000091.JPG,0.895,2,4,0,2,0.5,0.333,1.0,0.5,1.0,0.667,
batch_1/000092.JPG,0.155,1,5,2,1,0.222,0.167,0.333,0.222,0.333,0.833,
batch_1/000093.JPG,0.43,1,3,0,1,0.4,0.25,1.0,0.4,1.0,0.75,
batch_1/000094.JPG,0.493,0,5,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000095.JPG,0.656,3,2,0,3,0.75,0.6,1.0,0.75,1.0,0.4,
batch_1/000096.JPG,0.424,0,4,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000062.JPG,0.377,5,4,8,9,0.538,0.556,0.385,0.455,0.385,0.308,
batch_1/000098.JPG,0.545,2,0,3,2,0.571,1.0,0.4,0.571,0.4,0.0,
batch_1/000099.JPG,0.473,0,4,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000064.JPG,0.298,0,5,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000100.JPG,0.185,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000101.JPG,0.499,2,4,0,3,0.556,0.333,1.0,0.5,1.0,0.571,
batch_1/000102.JPG,0.658,1,1,5,1,0.25,0.5,0.167,0.25,0.167,0.5,
batch_1/000104.JPG,0.948,0,3,7,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000105.JPG,0.24,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000106.JPG,0.588,3,0,3,2,0.625,1.0,0.5,0.667,0.5,0.0,
batch_1/000107.JPG,0.179,1,4,4,4,0.385,0.2,0.2,0.2,0.2,0.5,
batch_1/000108.JPG,0.91,0,2,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000110.JPG,0.002,0,4,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000111.JPG,0.7,3,1,0,1,0.8,0.75,1.0,0.857,1.0,0.5,
batch_1/000115.JPG,0.583,7,0,5,1,0.615,1.0,0.583,0.737,0.583,0.0,
batch_1/000117.JPG,0.488,2,1,2,3,0.625,0.667,0.5,0.571,0.5,0.25,
batch_1/000118.JPG,0.541,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_1/000119.JPG,0.482,0,10,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000120.JPG,0.558,0,0,2,0,0.0,0,0.0,0,0.0,0,
batch_1/000121.JPG,0.945,2,1,0,2,0.8,0.667,1.0,0.8,1.0,0.333,
batch_1/000122.JPG,0.879,1,2,0,1,0.5,0.333,1.0,0.5,1.0,0.667,
batch_1/000004.jpg,0.388,1,0,0,2,1.0,1.0,1.0,1.0,1.0,0.0,
batch_1/000124.JPG,0.711,0,3,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000127.JPG,0.548,3,3,7,1,0.286,0.5,0.3,0.375,0.3,0.75,
