img, IoU_img, TP, FP, FN, TN, accuracy, precision, recall, F1, TPR, FPR
batch_1/000087.JPG,0,1,7,1,1,0.2,0.125,0.5,0.2,0.5,0.875,
batch_1/000088.JPG,0.705,0,1,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000090.JPG,0.408,0,2,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000091.JPG,0.798,1,3,1,3,0.5,0.25,0.5,0.333,0.5,0.5,
batch_1/000092.JPG,0.413,0,2,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000093.JPG,0.4,1,2,0,2,0.6,0.333,1.0,0.5,1.0,0.5,
batch_1/000094.JPG,0.528,0,4,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000095.JPG,0.735,3,1,0,3,0.857,0.75,1.0,0.857,1.0,0.25,
batch_1/000096.JPG,0.569,0,3,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000062.JPG,0.274,7,16,6,11,0.45,0.304,0.538,0.389,0.538,0.593,
batch_1/000098.JPG,0.434,2,2,3,8,0.667,0.5,0.4,0.444,0.4,0.2,
batch_1/000099.JPG,0.31,0,6,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000064.JPG,0.148,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000100.JPG,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000101.JPG,0.416,2,8,0,8,0.556,0.2,1.0,0.333,1.0,0.5,
batch_1/000102.JPG,0.761,1,1,5,4,0.455,0.5,0.167,0.25,0.167,0.2,
batch_1/000104.JPG,0.863,6,4,1,2,0.615,0.6,0.857,0.706,0.857,0.667,
batch_1/000105.JPG,0.1,0,9,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000106.JPG,0.923,0,1,6,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000107.JPG,0.463,1,6,4,2,0.231,0.143,0.2,0.167,0.2,0.75,
batch_1/000108.JPG,0,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000110.JPG,0.002,0,3,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000111.JPG,0.614,3,2,0,4,0.778,0.6,1.0,0.75,1.0,0.333,
batch_1/000115.JPG,0.661,7,1,5,1,0.571,0.875,0.583,0.7,0.583,0.5,
batch_1/000117.JPG,0.285,3,1,1,7,0.833,0.75,0.75,0.75,0.75,0.125,
batch_1/000118.JPG,0.363,1,2,0,2,0.6,0.333,1.0,0.5,1.0,0.5,
