img, IoU_img, TP, FP, FN, TN, accuracy, precision, recall, F1, TPR, FPR
batch_1/000088.JPG,0.373,1,3,3,1,0.25,0.25,0.25,0.25,0.25,0.75,
batch_1/000090.JPG,0.568,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000091.JPG,0.891,1,2,1,3,0.571,0.333,0.5,0.4,0.5,0.4,
batch_1/000092.JPG,0.101,1,3,2,1,0.286,0.25,0.333,0.286,0.333,0.75,
batch_1/000093.JPG,0.429,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000094.JPG,0.586,0,4,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000095.JPG,0.791,1,2,2,1,0.333,0.333,0.333,0.333,0.333,0.667,
batch_1/000096.JPG,0.643,0,5,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000062.JPG,0.516,5,3,8,7,0.522,0.625,0.385,0.476,0.385,0.3,
batch_1/000098.JPG,0.957,0,0,5,0,0.0,0,0.0,0,0.0,0,
batch_1/000099.JPG,0.473,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000064.JPG,0.292,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000100.JPG,0.534,0,3,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000101.JPG,0.417,2,5,0,3,0.5,0.286,1.0,0.444,1.0,0.625,
batch_1/000102.JPG,0.852,1,1,5,3,0.4,0.5,0.167,0.25,0.167,0.25,
batch_1/000104.JPG,0.759,4,1,3,1,0.556,0.8,0.571,0.667,0.571,0.5,
batch_1/000105.JPG,0.149,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000106.JPG,0.653,0,0,6,0,0.0,0,0.0,0,0.0,0,
batch_1/000107.JPG,0.197,1,2,4,2,0.333,0.333,0.2,0.25,0.2,0.5,
batch_1/000108.JPG,0,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000110.JPG,0.009,0,0,2,0,0.0,0,0.0,0,0.0,0,
batch_1/000111.JPG,0.923,0,3,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000115.JPG,0.649,0,0,12,0,0.0,0,0.0,0,0.0,0,
batch_1/000117.JPG,0.253,2,0,2,4,0.75,1.0,0.5,0.667,0.5,0.0,
batch_1/000118.JPG,0.342,1,0,0,2,1.0,1.0,1.0,1.0,1.0,0.0,
batch_1/000119.JPG,0.524,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000120.JPG,0.55,0,0,2,0,0.0,0,0.0,0,0.0,0,
batch_1/000121.JPG,0.804,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000122.JPG,0.901,1,2,0,1,0.5,0.333,1.0,0.5,1.0,0.667,
batch_1/000004.jpg,0.914,1,1,0,2,0.75,0.5,1.0,0.667,1.0,0.333,
batch_1/000124.JPG,0.675,0,1,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000127.JPG,0.511,0,0,10,0,0.0,0,0.0,0,0.0,0,
